eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
33686,4G64,97,,132,,2.4,86.5,4,16,бензин
42775,99Q,194,224,264,305,5.4,90.2,8,24,бензин
21209,G9T 606,78,102,106,139,2.2,87,4,16,Дизель
44306,G4KM,132,,180,,2.5,88.5,4,16,бензин
27088,ISLe5 340B,250,,340,,8.8,114,6,24,Дизель
50068,TZ200XSBT1,160,,218,,,,,,электричество
31663,L36,125,171,170,233,3.8,96.5,6,12,бензин
377,ZV,59,,80,,1.8,81.5,4,8,бензин
2086,M 102.983,125,136,170,185,2.3,95.5,4,16,бензин
20306,OM 457.919,315,,428,,12,128,6,24,Дизель
39789,TZ204XS105K04,110,,150,,,,,,электричество
44538,135 C.000,132,,179,,2.4,92.5,6,12,бензин
37108,DD16,373,447,507,608,15.6,139,6,24,Дизель
46604,TZ200XYC,230,,313,,,,,,электричество
25196,ASW,82,,112,,1,67.1,4,16,бензин
50470,PX-7 167,167,,227,,6.7,107,6,24,Дизель
21645,1ZR-FE,82,90,112,122,1.6,80.5,4,16,бензин
29659,M9T 700,100,120,136,163,2.3,85,4,16,Дизель
32316,4HJ (P22DTE),110,,150,,2.2,86,4,16,Дизель
