let_eng_id,let_type_id,case
3813,24553,PC
24807,34664,PC
8095,7595,CV
24053,36677,CV
25519,35404,CV
40495,45188,CV
21168,23628,PC
35483,24540,CV
45974,24681,CV
27442,1866,CV
20860,8903,PC
34288,125718,PC
38637,21884,CV
33737,35299,CV
45705,146473,PC
27683,127918,PC
28282,23514,CV
27907,7609,PC
50819,156932,PC
21225,15480,PC
31572,105694,PC
16296,7052,CV
48140,151168,PC
16467,11726,CV
38815,44730,CV
47551,46366,CV
20721,15127,PC
5788,8360,CV
18902,65394,CV
27600,48633,CV
37498,27700,CV
22151,17443,CV
38637,19674,CV
35012,15757,CV
19934,53710,PC
18419,17868,PC
29094,16604,CV
41397,143498,PC
1836,2690,PC
36799,27119,CV
28082,16006,CV
11487,22749,PC
27605,15557,CV
31938,31373,CV
18641,24228,CV
32791,119050,PC
37587,136571,PC
25519,16097,CV
45695,25720,CV
31571,135285,PC
25615,31179,CV
17311,114026,PC
30814,147900,PC
37934,44676,CV
31276,800399,PC
17452,62065,CV
47623,150726,PC
20370,9481,CV
3814,34618,PC
27605,15974,CV
2830,2436,PC
29905,121523,PC
30783,108459,PC
32361,100334,PC
23145,9274,CV
8536,5634,CV
10368,25289,CV
15911,15487,PC
17469,20704,PC
35243,50093,CV
28132,61805,CV
2215,34185,PC
31092,111795,PC
7798,56330,CV
37596,31668,CV
17245,13822,CV
36608,34595,PC
7873,58935,CV
40247,105787,PC
28572,55330,CV
35429,137727,PC
21111,13008,PC
44813,25237,CV
27714,52301,CV
28200,55596,PC
32733,127544,PC
30003,100146,PC
21048,12063,CV
51523,157761,PC
41969,110065,PC
36568,61851,CV
27595,48826,CV
41078,141842,PC
45526,48452,CV
32534,140916,PC
35013,18252,CV
37830,21925,CV
22152,10868,CV
19017,59575,CV
25143,19928,PC
9223,25766,CV
16501,53505,CV
17652,20371,PC
5786,8400,CV
26337,126970,PC
26931,54918,PC
43226,155468,PC
19100,8896,CV
36815,25410,CV
25303,127549,PC
26600,137547,PC
37105,35117,CV
7781,56373,CV
36799,25380,CV
18826,10891,CV
17062,16870,PC
24613,100827,PC
36661,114127,PC
17409,24335,PC
25935,47788,CV
27533,40048,CV
39540,803514,CV
45572,153633,PC
38045,29048,CV
1365,28647,PC
51207,32715,PC
12007,9095,PC
25627,21338,PC
35911,36740,CV
28178,127729,PC
45621,142541,PC
5778,58443,CV
18474,19785,PC
37597,31709,CV
44992,43916,CV
29281,801099,PC
21621,10683,CV
8893,7365,CV
43423,125315,PC
23438,18500,CV
31288,31077,PC
41397,143634,PC
29009,62171,CV
26465,11970,PC
35154,129442,PC
5028,1660,PC
30706,110956,PC
20368,55160,CV
44860,46638,CV
38004,30343,CV
46055,136846,PC
6621,14674,CV
39807,139730,PC
37596,31707,CV
